"Designator","Designation","Quantity","Link"
"U12,U14","IRFHM9331TRPBF",2,"https://lcsc.com/product-detail/MOSFET_Infineon-Technologies-IRFHM9331TRPBF_C148156.html"
"R11","RC0603FR-07780RL",1,"RC0603FR-07780RL"
"U4","TPS62135RGXR",1,"https://lcsc.com/product-detail/DC-DC-Converters_Texas-Instruments-TPS62135RGXR_C167238.html"
"C1,C3,C5,C12,C13,C19,C22,C30,C31,C34,C35,C36,C37,C14,C32,C44,C46","CL10B104KA8NNNC",17,"CL10B104KA8NNNC"
"C2,C4,C6,C15,C16,C38,C39,C40,C41,C42,C43,C48,C49","CL10A105KA8NNNC",13,"CL10A105KA8NNNC"
"C7,C8","0603B223J500NT ",2,"0603B223J500NT "
"C9,C10,C21,C26,C33,C45","CL10A475KO8NNNC",6,"CL10A475KO8NNNC"
"C11,C17,C18,C23,C28,C29","1206X106K160NT",6,"1206X106K160NT"
"C20,C24,C25","CL10B104KA8NNNC ",3,"CL10B104KA8NNNC "
"C27","CL10A225KQ8NNNC",1,"CL10A225KQ8NNNC"
"D2,D10","LTST-C193KRKT-5A",2,"LTST-C193KRKT-5A"
"D1,D3,D9","LTST-C193KGKT-5A",3,"LTST-C193KGKT-5A"
"D4,D5","LTST-C191KSKT",2,"LTST-C191KSKT"
"D6,D7","WS2812B-Mini",2,"https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_3535-RGBIntegrated-Light_C114583.html"
"J7","MTP125-1203S1",1,"https://lcsc.com/product-detail/Pin-Header-Female-Header_MINTRON-MTP125-1203S1_C358692.html"
"J8,J9,J10,J11,J12","SEEED-110990030 ",5,"SEEED-110990030 "
"J13","20021111-00010T4LF",1,"https://lcsc.com/product-detail/Pin-Header-Female-Header_Amphenol-ICC_20021111-00010T4LF_Amphenol-ICC-20021111-00010T4LF_C239059.html"
"J14","A2541WV-3P",1,"https://lcsc.com/product-detail/Pin-Header-Female-Header_CJT-Changjiang-Connectors-A2541WV-3P_C225478.html"
"J15","PJ-002A",1,"https://www.mouser.com/ProductDetail/CUI-Devices/PJ-002A?qs=WyjlAZoYn51CKfAix9Mngw%3D%3D"
